Identifiant article;Code-barres article;Code article;Libellé;Famille;Fournisseur principal;Collection;Prix de revient HT article;Prix Détail (TTC);Prix unique;Catégorie;Grille masque des dimensions;Grille dimension 1;Code tarif;
;6191114155183;;JABLA;;;24E;0;0;-;;;;;
00100015                         X;;00100015;INEZ;PYJAMA;STE TEX-MODE;24H;32;100;-;PFL;0GS;;;
12142                            X;;12142;JEOVANA;ROBE;STE RFBK;24E;16;80;-;PFL;0GK;;R0;
12143                            X;;12143;JACARNAD;COLLANT;SATINA KAIS BENGHALIA;24E;2;8;-;PFL;0GK;;R0;
12144                            X;;12144;JIANNI;CHAUSSURES;JOELLE;24E;33;90;-;PFL;0GM;;R0;
12145                            X;;12145;JEZY;CHAUSSURES;JOELLE;24E;30;90;-;PFL;0GM;;R0;
12146                            X;;12146;JEFFRAY;ROBE;TIN TRADE;24E;31;90;-;PFL;0GK;;R0;
12147                            X;;12147;JASSIME;VESTE;TIN TRADE;24E;24;70;-;PFL;0GK;;R0;
12148                            X;;12148;JAMYL;JUPE;TIN TRADE;24E;21;60;-;PFL;0GK;;R0;
12149                            X;;12149;JACEE;TEE SHIRT;TIN TRADE;24E;14;40;-;PFL;0GK;;R0;
12150                            X;;12150;JACASSEUR;ROBE;TIN TRADE;24E;31;90;-;PFL;0GK;;R0;
12151                            X;;12151;JACASSERIES;JUPE;TIN TRADE;24E;21;60;-;PFL;0GK;;R0;
12152                            X;;12152;JACASSE;TEE SHIRT;TIN TRADE;24E;16;50;-;PFL;0GK;;R0;
12153                            X;;12153;JACARANDA;TEE SHIRT;TIN TRADE;24E;24;60;-;PFL;0GK;;R0;
12154                            X;;12154;JABRAN;JUPE;TIN TRADE;24E;21;60;-;PFL;0GK;;R0;
12155                            X;;12155;JABOTS;SHORT;TIN TRADE;24E;27;80;-;PFL;0GK;;R0;
12156                            X;;12156;JABOTER;VESTE;TIN TRADE;24E;27;90;-;PFL;0GK;;R0;
12157                            X;;12157;JUDITH;GILET;COMETEX;24E;23;70;-;PFL;0GK;;R0;
12158                            X;;12158;JUDITE;GILET;COMETEX;24E;23;70;-;PFL;0GK;;R0;
12159                            X;;12159;JOANY;SAC A MAIN;SHADO;24E;17;50;-;PFL;0GJ;;R0;
12160                            X;;12160;JOHNNY;SAC A MAIN;SHADO;24E;21;60;-;PFL;0GJ;;R0;
12161                            X;;12161;JOHNSON;SAC A MAIN;SHADO;24E;17;50;-;PFL;0GJ;;R0;
12162                            X;;12162;JOAO;SAC A MAIN;SHADO;24E;17;50;-;PFL;0GJ;;R0;
