Date document;Etablissement ligne doc.;Code article;Code-barres article;Taille;Couleur;Saison;
01/03/2026;002;20752;6191114378728;2XL;940;24E;;1,00;
01/03/2026;002;21246;6191114481459;L;995;24H;;1,00;
01/03/2026;002;21347;6191114501461;M;385;24H;;1,00;
01/03/2026;002;21419;6191114514218;XL;695;24H;;1,00;
01/03/2026;002;21906;6191114600126;XL;385;25E;;1,00;
01/03/2026;002;21906;6191114600133;XL;995;25E;;1,00;
01/03/2026;002;21906;6191114600140;XL;000;25E;;1,00;
01/03/2026;002;22047;6191114612853;3XL;385;25H;;1,00;
01/03/2026;002;22065;6191114618916;S;820;25H;;1,00;
01/03/2026;002;22071;6191114616097;M;784;25H;;1,00;
01/03/2026;002;22099;6191114620926;XL;995;25H;;1,00;
01/03/2026;002;22112;6191114622807;XXL;815;25H;;1,00;
01/03/2026;002;22112;6191114622869;XXL;R995;25H;;1,00;
01/03/2026;002;22112;6191114622920;XXL;995;25H;;1,00;
01/03/2026;002;22113;6191114645677;M;820;25H;;1,00;
01/03/2026;002;22114;6191114645882;XXL;020;25H;;1,00;
01/03/2026;002;22115;6191114646032;XXL;820;25H;;1,00;
01/03/2026;002;22116;6191114646100;S;770;25H;;1,00;
01/03/2026;002;22129;6191114623118;S;010;25H;;3,00;
01/03/2026;002;22151;6191114625716;L;995;25H;;1,00;
01/03/2026;002;22174;6191114628755;XL;990;25H;;1,00;
01/03/2026;002;22183;6191114629486;S;385;25H;;1,00;
01/03/2026;002;22183;6191114629509;M;385;25H;;1,00;
01/03/2026;002;22183;6191114629523;L;385;25H;;1,00;
01/03/2026;002;22183;6191114629585;3XL;385;25H;;1,00;
01/03/2026;002;22194;6191114628182;L;I385;25H;;1,00;
01/03/2026;002;22194;6191114628212;XL;I385;25H;;1,00;
01/03/2026;002;22201;6191114630406;L;815;25H;;1,00;
01/03/2026;002;22238;6191114644861;M;I995;25H;;1,00;
01/03/2026;002;22243;6191114647794;L;695;25H;;1,00;
01/03/2026;002;22253;6191114650251;XL;995;25H;;1,00;
01/03/2026;002;22272;6191114652613;XXL;870;25H;;1,00;
01/03/2026;002;22273;6191114652781;XL;824;25H;;1,00;
01/03/2026;002;22286;6191114654457;L;995;25H;;1,00;
01/03/2026;002;22331;6191114660380;M;495;25H;;1,00;
01/03/2026;002;22403;6191114670273;S;476;26E;;1,00;
01/03/2026;002;22409;6191114670990;M;995;26E;;1,00;
01/03/2026;002;22414;6191114672796;2XL/3;805;26E;;1,00;
01/03/2026;002;55816;6191114648487;XL;R990;25H;;-1,00;
01/03/2026;002;55834;6191114676800;XL;815;26E;;-1,00;
01/03/2026;002;66481;6191114502215;S/M;200;24H;;1,00;
01/03/2026;002;70207;6191114612495;S;R385;25H;;1,00;
01/03/2026;002;70210;6191114619173;M;R350;25H;;1,00;
01/03/2026;002;70210;6191114619210;XL;R350;25H;;1,00;
01/03/2026;002;70222;6191114630963;S;476;25H;;1,00;
01/03/2026;002;70223;6191114631021;S;476;25H;;1,00;
01/03/2026;002;70226;6191114651975;M;I995;25H;;1,00;
01/03/2026;002;70226;6191114651982;M;I880;25H;;1,00;
01/03/2026;002;70226;6191114652118;3XL;I815;25H;;1,00;
01/03/2026;002;70231;6191114658691;L;C000;25H;;1,00;
01/03/2026;005;22145;6191114629943;L;995;25H;;1,00;
01/03/2026;005;22182;6191114629462;3XL;995;25H;;1,00;
01/03/2026;005;22296;6191114656512;L;215;25H;;1,00;
01/03/2026;005;55806;6191114640948;3XL;385;25H;;1,00;
01/03/2026;005;55830;6191114675872;XL;385;26E;;1,00;
01/03/2026;005;55831;6191114676152;3XL;995;26E;;1,00;
01/03/2026;005;55831;6191114676169;3XL;385;26E;;1,00;
01/03/2026;005;91272;6194444115667;TU;815;22H;;1,00;
01/03/2026;005;91273;6194444115674;TU;815;22H;;2,00;
01/03/2026;009;22068;6191114642362;S;695;25H;;1,00;
01/03/2026;009;22142;6191114624733;L;875;25H;;1,00;
01/03/2026;009;22186;6191114627741;L;784;25H;;1,00;
01/03/2026;009;22229;6191114644021;XL;995;25H;;1,00;
01/03/2026;009;22246;6191114648814;M;995;25H;;1,00;
01/03/2026;009;22303;6191114657373;L;870;25H;;1,00;
01/03/2026;009;22330;6191114660090;XXL;724;25H;;1,00;
01/03/2026;009;22405;6191114670426;XL;476;26E;;1,00;
01/03/2026;009;91272;6194444115667;TU;815;22H;;1,00;
01/03/2026;011;22015;6191114607842;S;695;25H;;1,00;
01/03/2026;011;22073;6191114616288;M;395;25H;;1,00;
01/03/2026;011;22127;6191114647091;M;995;25H;;1,00;
01/03/2026;011;22189;6191114644786;L/XL;200;25H;;1,00;
01/03/2026;011;22198;6191114630192;XL;695;25H;;1,00;
01/03/2026;011;22204;6191114630734;M;995;25H;;1,00;
01/03/2026;011;22213;6191114642331;XL;815;25H;;1,00;
